"Turn on catalog ingestion","Zapnout přijetí katalogu"
"Turn off catalog ingestion","Vypnout přijetí katalogu"
"Turn on Pinterest tag and Pinterest API for Conversions","Zapnutí tagu Pinterestu a rozhraní API Pinterestu pro konverze"
"Turn off Pinterest tag and Pinterest API for Conversions","Vypnutí tagu Pinterestu a rozhraní API Pinterestu pro konverze"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurace
General,Obecné
"Client ID","ID klienta"
"Base URL","Základní adresa URL"
"Catalog Ingestion","Přijetí katalogu"
"Tag and API for Conversions","Tag a rozhraní API pro konverze"
