"Regenerate Catalog","Katalog neu erstellen"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Aktiviere das LDP-Flag, um bei der Nutzung des Anzeigendienstes von Pinterest den Verpflichtungen gemäß CCPA und CPRA nachzukommen. <a href='%1' target='_blank'>Mehr Informationen</a>"
"Turn on catalog ingestion","Einpflege in den Katalog aktivieren"
"Turn off catalog ingestion","Einpflege in den Katalog deaktivieren"
"Turn on Pinterest tag and Pinterest API for Conversions","Pinterest-Tag und Pinterest-API für Conversions aktivieren"
"Turn off Pinterest tag and Pinterest API for Conversions","Pinterest-Tag und Pinterest-API für Conversions deaktivieren"
"Use Magento Cookie Restriction Mode","Cookie-Einschränkungsmodus für Magento verwenden"
"Enable Tracking if Cookie Exists","Tracking aktivieren, falls ein Cookie vorhanden ist"
Yes,Ja
No,Nein
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","Bei der Neuerstellung deines Katalogs ist ein Problem aufgetreten. Aktualisiere die Seite oder versuche es zu einem späteren Zeitpunkt erneut."
Success,Fertig!
"You must be logged into Pinterest to access this setting","Du musst bei Pinterest angemeldet sein, um auf diese Einstellung zugreifen zu können."
Pinterest,Pinterest
Setup,Einrichten
Configurations,Konfigurationen
General,Allgemein
"Client ID","Kunden-ID"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Kunden-ID für Pinterest. Diese wird verwendet, um Adobe Commerce-/Magento-Kunden auf Pinterest zu identifizieren."
"Integration Base URL","Basis-URL für Integration"
"Base URL path for Pinterest.","Basis-URL-Pfad für Pinterest."
"Catalog Ingestion","Einpflege in den Katalog"
"Allow catalog ingestion to Pinterest","Einpflegen des Katalogs auf Pinterest zulassen"
"Conversion tracking","Conversion-Tracking"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","Sende clientseitige und serverseitige Conversion Events. Um diese Einstellung zu aktualisieren, trenne dein Pinterest-Unternehmenskonto und verknüpfe es erneut mit Adobe Commerce."
"Catalog Sync","Katalogsynchronisation"
"Manually run catalog creation and feed registration","Katalogerstellung und Feed-Registrierung manuell ausführen"
"General Data Protection Regulation (GDPR)","Datenschutz-Grundverordnung (DSGVO)"
"Enable GDPR","DSGVO aktivieren"
Options,Optionen
"Cookie Name","Name des Cookies"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","Das Tracking wird über „Shops > Konfiguration > Allgemein > Web > Standard-Cookie-Einstellungen > Cookie-Einschränkungsmodus“ gesteuert."
"Limited Data Processing (LDP)","Eingeschränkte Datenverarbeitung (LDP)"
"Enable Limited Data Processing flag","LDP-Flag aktivieren"
