"Regenerate Catalog","Regenerate catalogue"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>"
"Turn on catalog ingestion","Turn on catalogue ingestion"
"Turn off catalog ingestion","Turn off catalogue ingestion"
"Turn on Pinterest tag and Pinterest API for Conversions","Turn on Pinterest Tag and Pinterest API for Conversions"
"Turn off Pinterest tag and Pinterest API for Conversions","Turn off Pinterest Tag and Pinterest API for Conversions"
"Use Magento Cookie Restriction Mode","Use Magento cookie restriction mode"
"Enable Tracking if Cookie Exists","Enable tracking if cookie exists"
Yes,Yes
No,No
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","There was an issue regenerating your catalogue. Please refresh the page or try again later."
Success,Success
"You must be logged into Pinterest to access this setting","You must be logged in to Pinterest to access this setting"
Pinterest,Pinterest
Setup,Setup
Configurations,Configurations
General,General
"Client ID","Client ID"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest."
"Integration Base URL","Integration base URL"
"Base URL path for Pinterest.","Base URL path for Pinterest."
"Catalog Ingestion","Catalogue ingestion"
"Allow catalog ingestion to Pinterest","Allow catalogue ingestion to Pinterest"
"Conversion tracking","Conversion tracking"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","Send client-side and server-side conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce."
"Catalog Sync","Catalogue sync"
"Manually run catalog creation and feed registration","Run catalogue creation and feed registration manually"
"General Data Protection Regulation (GDPR)","General Data Protection Regulation (GDPR)"
"Enable GDPR","Enable GDPR"
Options,Options
"Cookie Name","Cookie name"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","Tracking is controlled in Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode"
"Limited Data Processing (LDP)","Limited Data Processing (LDP)"
"Enable Limited Data Processing flag","Enable Limited Data Processing flag"
