"Turn on catalog ingestion","कैटलॉग इंजेशन चालू करें"
"Turn off catalog ingestion","कैटलॉग इंजेशन बंद करें"
"Turn on Pinterest tag and Pinterest API for Conversions","रूपांतरणों के लिए Pinterest टैग और Pinterest API चालू करें"
"Turn off Pinterest tag and Pinterest API for Conversions","रूपांतरणों के लिए Pinterest टैग और Pinterest API को बंद करें"
Pinterest,Pinterest
Setup,Setup
Configurations,कॉन्फ़िगरेशन
General,सामान्य
"Client ID","क्लाइंट ID"
"Base URL","आधार URL"
"Catalog Ingestion","कैटलॉग इंजेशन"
"Tag and API for Conversions","रूपांतरणों के लिए टैग और API"
