"Turn on catalog ingestion","Zapnutie nahrávania katalógu"
"Turn off catalog ingestion","Vypnutie nahrávania katalógu"
"Turn on Pinterest tag and Pinterest API for Conversions","Zapnutie značky Pinterestu a rozhrania API Pinterestu pre konverzie"
"Turn off Pinterest tag and Pinterest API for Conversions","Vypnutie značky Pinterestu a rozhrania API Pinterestu pre konverzie"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurácie
General,Všeobecné
"Client ID","ID klienta"
"Base URL","Základná adresa URL"
"Catalog Ingestion","Nahrávanie katalógu"
"Tag and API for Conversions","Značka a rozhranie API pre konverzie"
