"Regenerate Catalog","కేటలాగ్‌ను తిరిగి జనరేట్ చేయండి"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Pinterest ప్రకటన సేవను ఉపయోగిస్తున్నప్పుడు CPPA మరియు CPRA ప్రకారం బాధ్యతలకు లోబడి ఉండటానికి LDP ఫ్లాగ్‌ను ప్రారంభించండి. <a href='%1' target='_blank'>మరింత తెలుసుకోండి</a>"
"Turn on catalog ingestion","కేటలాగ్ ఇన్‌జెషన్‌ను ఆన్ చేయండి"
"Turn off catalog ingestion","కేటలాగ్ ఇన్‌జెషన్‌ను ఆఫ్ చేయండి"
"Turn on Pinterest tag and Pinterest API for Conversions","కన్వర్షన్‌ల కోసం Pinterest ట్యాగ్ మరియు Pinterest APIలను ప్రారంభించండి"
"Turn off Pinterest tag and Pinterest API for Conversions","కన్వర్షన్‌ల కోసం Pinterest ట్యాగ్ మరియు Pinterest APIని ఆఫ్ చేయండి"
"Use Magento Cookie Restriction Mode","Magento కుకీ పరిమితి మోడ్‌ను ఉపయోగించండి"
"Enable Tracking if Cookie Exists","కుకీ ఉన్నట్లయితే ట్రాకింగ్‌ను ప్రారంభించండి"
Yes,అవును
No,కాదు
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","మీ కేటలాగ్‌ను తిరిగి జనరేట్ చేయడంలో సమస్య ఉంది. దయచేసి పేజీని రీఫ్రెష్ చేయండి లేదా తర్వాత మళ్లీ ప్రయత్నించండి."
Success,విజయవంతమైంది
"You must be logged into Pinterest to access this setting","మీరు ఈ సెట్టింగ్‌ను యాక్సెస్ చేయడానికి తప్పనిసరిగా Pinterestకి లాగిన్ అయి ఉండాలి"
Pinterest,Pinterest
Setup,సెటప్
Configurations,కాన్ఫిగరేషన్
General,సాధారణం
"Client ID","క్లయింట్ ID"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Pinterest కోసం క్లయింట్ ID. ఇది Pinterestలో Adobe కామర్స్/Magento క్లయింట్‌లను గుర్తించడానికి ఉపయోగించబడుతుంది."
"Integration Base URL","ఇంటిగ్రేషన్ బేస్ URL"
"Base URL path for Pinterest.","Pinterest కోసం బేస్ URL పాత్."
"Catalog Ingestion","కేటలాగ్ ఇన్‌జెషన్"
"Allow catalog ingestion to Pinterest","Pinterestకు కేటలాగ్ అంతర్గ్రహణాన్ని అనుమతించండి"
"Conversion tracking","కన్వర్షన్ ట్రాకింగ్"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","క్లయింట్‌సైడ్ మరియు సర్వర్‌సైడ్ కన్వర్షన్ ఈవెంట్‌లను పంపండి. ఈ సెట్టింగ్‌ను అప్‌డేట్ చేయడానికి, AdobeCommerceకు మీ Pinterest వ్యాపార ఖాతాను డిస్‌కనెక్ట్ చేసి, తిరిగి కనెక్ట్ చేయండి."
"Catalog Sync","కేటలాగ్ సింక్"
"Manually run catalog creation and feed registration","కేటలాగ్ సృష్టి మరియు ఫీడ్ రిజిస్ట్రేషన్‌ను మాన్యువల్‌గా అమలు చేయండి"
"General Data Protection Regulation (GDPR)","సాధారణ డేటా రక్షణ నియంత్రణ (GDPR)"
"Enable GDPR","GDPRని ప్రారంభించండి"
Options,ఎంపికలు
"Cookie Name","కుకీ పేరు"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","ట్రాకింగ్ అనేది స్టోర్‌లు > కాన్ఫిగరేషన్ > సాధారణం > వెబ్ > డిఫాల్ట్ కుకీ సెట్టింగ్‌లు > కుకీ పరిమితి మోడ్‌లో నియంత్రించబడుతుంది"
"Limited Data Processing (LDP)","పరిమిత డేటా ప్రాసెసింగ్ (LDP)"
"Enable Limited Data Processing flag","పరిమిత డేటా ప్రాసెసింగ్ ఫ్లాగ్‌ను ప్రారంభించండి"
