"Regenerate Catalog","Kataloğu Yeniden Oluşturma"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Pinterest'in reklam hizmetini kullanırken CCPA ve CPRA kapsamındaki yükümlülüklere uymak için LDP bayrağını etkinleştirin. <a href='%1' target='_blank'>Daha fazla bilgi edinin</a>"
"Turn on catalog ingestion","Katalog alımını aç"
"Turn off catalog ingestion","Katalog alımını kapat"
"Turn on Pinterest tag and Pinterest API for Conversions","Pinterest etiketini ve Dönüşümler için Pinterest API'sini açın"
"Turn off Pinterest tag and Pinterest API for Conversions","Pinterest etiketini ve Dönüşümler için Pinterest API'sini kapatın"
"Use Magento Cookie Restriction Mode","Magento Çerez Kısıtlama Modunu Kullanın"
"Enable Tracking if Cookie Exists","Çerez Varsa İzlemeyi Etkinleştirme"
Yes,Evet
No,No
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","Kataloğunuz yeniden oluşturulurken bir sorun oluştu. Lütfen sayfayı yenileyin veya daha sonra tekrar deneyin."
Success,Başarılı
"You must be logged into Pinterest to access this setting","Bu ayara erişmek için Pinterest'te oturum açmış olmanız gerekir"
Pinterest,Pinterest
Setup,Kurulum
Configurations,Yapılandırma
General,Genel
"Client ID","İstemci Kimliği"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Pinterest için İstemci Kimliği. Bu, Pinterest'teki Adobe Commerce/Magento istemcilerini tanımlamak için kullanılır."
"Integration Base URL","Entegrasyon Temel URL'si"
"Base URL path for Pinterest.","Pinterest için temel URL yolu."
"Catalog Ingestion","Katalog Alımı"
"Allow catalog ingestion to Pinterest","Pinterest'e katalog alımına izin ver"
"Conversion tracking","Dönüşüm izleme"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","İstemci tarafı ve sunucu tarafı dönüşüm etkinliklerini gönder. Bu ayarı güncellemek için Pinterest işletme hesabınızın Adobe Commerce ile bağlantısını kesin ve yeniden bağlayın."
"Catalog Sync","Katalog Senkronizasyonu"
"Manually run catalog creation and feed registration","Katalog oluşturmayı ve akış kaydını manuel olarak çalıştırma"
"General Data Protection Regulation (GDPR)","Genel Veri Koruma Yönetmeliği (GDPR)"
"Enable GDPR","GDPR'yi etkinleştir"
Options,Seçenekler
"Cookie Name","Çerez Adı"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","İzleme, Mağazalar > Yapılandırma > Genel > Web > Varsayılan Çerez Ayarları > Çerez Kısıtlama Modu kısmından kontrol edilir"
"Limited Data Processing (LDP)","Sınırlı Veri İşleme (LDP)"
"Enable Limited Data Processing flag","Sınırlı Veri İşleme bayrağını etkinleştir"
