"Turn on catalog ingestion","Увімкнути завантаження даних каталогу"
"Turn off catalog ingestion","Вимкнення завантаження даних каталогу"
"Turn on Pinterest tag and Pinterest API for Conversions","Увімкніть тег Pinterest і API Pinterest для конверсій"
"Turn off Pinterest tag and Pinterest API for Conversions","Вимкнення тегу Pinterest і API Pinterest для конверсій"
Pinterest,Pinterest
Setup,Setup
Configurations,Конфігурації
General,Загальне
"Client ID","Ідентифікатор клієнта"
"Base URL","Основна URL-адреса"
"Catalog Ingestion","Завантаження даних каталогу"
"Tag and API for Conversions","Тег і API для конверсій"
